	Date	Temp	Rain	zipcode	count	Day	Hour	Weekday	Lat	Lon	Type
276	2014-05-01-21	77	0	10023.0	1	1	21	3	40.770342	-73.98223	yellow
277	2014-05-01-21	77	0	10111.0	1	1	21	3	40.7591	-73.9785	uber
278	2014-05-01-21	77	0	11368.0	1	1	21	3	40.7741	-73.8721	uber
279	2014-05-01-22	76	0	10001.0	1	1	22	3	40.750622	-74.00332	yellow
280	2014-05-01-22	76	0	10010.0	1	1	22	3	40.7441	-73.99	uber
281	2014-05-01-22	76	0	10013.0	1	1	22	3	40.718788	-74.008943	yellow
282	2014-05-01-22	76	0	10014.0	1	1	22	3	40.7272	-74.0054	uber
283	2014-05-01-22	76	0	10018.0	1	1	22	3	40.747982	-74.008052	yellow
284	2014-05-01-22	76	0	11368.0	1	1	22	3	40.7741	-73.8737	uber
285	2014-05-01-23	72	0	10003.0	1	1	23	3	40.729	-73.9922	uber
286	2014-05-01-23	72	0	10011.0	1	1	23	3	40.743527	-74.00362	yellow
287	2014-05-01-23	72	0	10013.0	1	1	23	3	40.719482	-74.00193	yellow
288	2014-05-01-23	72	0	10014.0	1	1	23	3	40.730514	-74.006794	yellow
289	2014-05-01-23	72	0	10021.0	2	1	23	3	40.774772	-73.962762	yellow
290	2014-05-01-23	72	0	10021.0	2	1	23	3	40.7741	-73.9614	uber
291	2014-05-01-23	72	0	11368.0	1	1	23	3	40.774	-73.8726	uber
292	2014-05-02-00	70	0	10002.0	1	2	0	4	40.715077	-73.9918	yellow
293	2014-05-02-00	70	0	10017.0	1	2	0	4	40.756687	-73.978443	yellow
294	2014-05-02-00	70	0	11368.0	1	2	0	4	40.774008	-73.874615	yellow
295	2014-05-02-01	71	0	10014.0	1	2	1	4	40.7398	-74.0026	uber
296	2014-05-02-01	71	0	10017.0	1	2	1	4	40.751762	-73.973848	yellow
297	2014-05-02-03	65	0	10001.0	1	2	3	4	40.749782	-74.002705	yellow
298	2014-05-02-06	60	0	10014.0	1	2	6	4	40.7381	-74.0088	uber
299	2014-05-02-07	58	0	10025.0	1	2	7	4	40.792327	-73.973702	yellow
300	2014-05-02-07	58	0	10128.0	1	2	7	4	40.778687	-73.948127	yellow
301	2014-05-02-08	56	0	10002.0	1	2	8	4	40.719572	-73.990043	yellow
302	2014-05-02-08	56	0	10003.0	1	2	8	4	40.7333	-73.9812	uber
303	2014-05-02-08	56	0	10017.0	1	2	8	4	40.753062	-73.977582	yellow
304	2014-05-02-08	56	0	10025.0	1	2	8	4	40.790908	-73.972536	yellow
305	2014-05-02-08	56	0	10028.0	1	2	8	4	40.775457	-73.953767	yellow
306	2014-05-02-09	56	0	10013.0	1	2	9	4	40.714237	-74.008482	yellow
307	2014-05-02-09	56	0	10021.0	1	2	9	4	40.774	-73.961	uber
308	2014-05-02-09	56	0	10022.0	1	2	9	4	40.7591	-73.9747	uber
309	2014-05-02-09	56	0	10023.0	1	2	9	4	40.771692	-73.982472	yellow
310	2014-05-02-09	56	0	10025.0	1	2	9	4	40.803977	-73.967077	yellow
311	2014-05-02-09	56	0	10128.0	1	2	9	4	40.783272	-73.957154	yellow
312	2014-05-02-10	57	0	10023.0	1	2	10	4	40.7795	-73.9819	uber
313	2014-05-02-10	57	0	10028.0	1	2	10	4	40.7764	-73.95	uber
314	2014-05-02-10	57	0	10111.0	1	2	10	4	40.758983	-73.97708	yellow
315	2014-05-02-11	58	0	10013.0	1	2	11	4	40.723292	-74.00595	yellow
316	2014-05-02-11	58	0	10014.0	1	2	11	4	40.7301	-74.0033	uber
317	2014-05-02-11	58	0	10016.0	1	2	11	4	40.745788	-73.98222	yellow
318	2014-05-02-11	58	0	10018.0	1	2	11	4	40.756858	-73.993938	yellow
